subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
1021,prepaid,2023-04-06,46,59120,urban,0,275655149975522,0,0.003817,0,Legitimate
1022,postpaid,2023-06-29,40,71715,urban,0,726964331964901,5,0.081212,0,Legitimate
1023,prepaid,2023-10-10,44,88030,urban,0,739192894831405,5,0.140872,0,Legitimate
1024,postpaid,2023-08-23,62,23718,rural,1,814714072436417,1,0.733421,1,Fraud
1025,postpaid,2023-01-18,37,25767,urban,1,229064795233938,1,0.67581,1,Fraud
1026,prepaid,2023-07-15,55,43776,suburban,0,146147937946375,4,0.063317,0,Legitimate
1027,prepaid,2023-04-02,60,23008,rural,0,462816445290911,7,0.004356,0,Legitimate
1028,postpaid,2023-10-07,62,81543,urban,1,710135629160404,5,0.677592,1,Fraud
1029,prepaid,2023-03-19,68,73294,rural,0,951226510584705,5,0.065683,0,Legitimate
1030,prepaid,2023-08-26,20,69961,suburban,0,424372892554860,3,0.074372,0,Legitimate
