subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
4000,prepaid,2023-12-08,30,46136,urban,0,527741775513544,0,0.148882,0,Legitimate
4001,postpaid,2024-07-09,44,17403,urban,0,232537283656249,1,0.128992,0,Legitimate
4002,prepaid,2025-03-03,67,24812,suburban,0,795075703042427,2,0.018133,0,Legitimate
4003,prepaid,2024-01-19,40,13834,urban,0,706964521374152,9,0.049904,0,Legitimate
4004,prepaid,2025-05-13,36,13344,urban,0,187099523301188,2,0.108223,0,Legitimate
4005,prepaid,2025-10-07,40,53983,suburban,0,330834474286523,1,0.106679,0,Legitimate
4006,postpaid,2024-01-04,22,47687,urban,0,965123463794395,1,0.140466,0,Legitimate
4007,postpaid,2024-04-28,24,50113,suburban,0,527781226056733,0,0.063316,0,Legitimate
4008,prepaid,2025-02-02,46,9000,urban,0,301993230755366,0,0.124505,0,Legitimate
4009,prepaid,2025-06-06,46,10155,urban,0,358990265710709,3,0.100546,0,Legitimate
4010,prepaid,2023-12-27,51,36926,suburban,0,700183758227799,1,0.045505,0,Legitimate
4011,prepaid,2025-05-12,52,6765,rural,1,279838233321494,0,0.805653,1,Fraud
4012,prepaid,2025-09-25,23,30966,suburban,0,886355793867010,3,0.132372,0,Legitimate
4013,prepaid,2024-11-23,58,46238,suburban,1,835229299441701,2,0.896169,1,Fraud
4014,prepaid,2025-05-02,44,10666,urban,0,989948857942337,0,0.075793,0,Legitimate
4015,postpaid,2024-09-24,27,15381,urban,0,884898081722762,10,0.08835,0,Legitimate
4016,prepaid,2025-08-24,36,7321,rural,0,452564139086560,0,0.005179,0,Legitimate
4017,postpaid,2024-03-29,61,20826,rural,1,284252416536720,2,0.684959,1,Fraud
4018,postpaid,2024-09-18,19,9514,suburban,1,373005426913720,4,0.879091,1,Fraud
4019,prepaid,2025-06-14,48,24884,suburban,1,800137788526710,5,0.74501,1,Fraud
4020,postpaid,2025-01-22,26,26089,urban,0,427062597874213,6,0.025951,0,Legitimate
4021,postpaid,2025-09-04,25,8735,urban,0,476097733619896,2,0.08232,0,Legitimate
4022,prepaid,2024-11-25,43,43402,suburban,0,246429104846105,1,0.105456,0,Legitimate
4023,postpaid,2025-01-02,23,51191,rural,0,762216153006291,2,0.101173,0,Legitimate
4024,postpaid,2024-12-30,47,23679,urban,0,018051418308897,0,0.056205,0,Legitimate
4025,postpaid,2024-12-11,52,17471,suburban,0,397630246970548,4,0.065844,0,Legitimate
4026,postpaid,2024-07-23,36,30437,rural,0,543853748893579,2,0.076264,0,Legitimate
4027,prepaid,2024-10-31,29,21755,suburban,0,168284714411275,2,0.116766,0,Legitimate
4028,postpaid,2025-02-14,46,16932,rural,0,607283038220082,4,0.078141,0,Legitimate
4029,prepaid,2025-07-12,18,48616,urban,0,250263814918108,3,0.058988,0,Legitimate
4030,postpaid,2025-05-21,34,19970,urban,0,206338149067877,0,0.073454,0,Legitimate
4031,prepaid,2024-04-13,18,18163,urban,0,251061784855791,0,0.004436,0,Legitimate
4032,prepaid,2025-04-26,30,8481,urban,0,873975614533138,2,0.006523,0,Legitimate
4033,prepaid,2023-11-12,49,21411,rural,0,007041682524212,3,0.105507,0,Legitimate
4034,postpaid,2024-11-17,54,17160,urban,0,426490113970326,2,0.147478,0,Legitimate
4035,postpaid,2024-06-18,33,19841,urban,0,832584559569748,1,0.088978,0,Legitimate
4036,prepaid,2025-06-27,39,18275,urban,0,954367848885458,2,0.05904,0,Legitimate
4037,prepaid,2023-10-27,47,13066,urban,0,388009822169393,0,0.025552,0,Legitimate
4038,prepaid,2024-07-27,57,27801,suburban,0,665590008498740,5,0.075336,0,Legitimate
4039,postpaid,2024-06-15,18,17047,suburban,0,206027077826695,6,0.147311,0,Legitimate
4040,prepaid,2024-06-30,28,24275,rural,0,639299025197414,2,0.115578,0,Legitimate
4041,postpaid,2025-08-17,51,10314,rural,1,074185260096189,9,0.788866,1,Fraud
4042,prepaid,2024-03-20,53,54848,rural,0,795719793535149,6,0.129043,0,Legitimate
4043,prepaid,2025-03-13,39,12957,rural,0,494351271420961,2,0.034826,0,Legitimate
4044,postpaid,2024-10-13,36,36645,urban,0,836779736567167,0,0.077066,0,Legitimate
4045,postpaid,2024-10-11,43,22658,urban,0,898479156194000,0,0.14287,0,Legitimate
4046,prepaid,2025-07-30,53,22342,rural,0,371751157211305,3,0.086669,0,Legitimate
4047,postpaid,2024-03-11,49,16791,rural,0,113956796314139,0,0.06887,0,Legitimate
4048,postpaid,2024-09-06,25,19797,suburban,0,937274655065944,2,0.040392,0,Legitimate
4049,prepaid,2025-08-11,54,19515,suburban,0,275937547437579,3,0.082199,0,Legitimate
4050,postpaid,2024-01-15,27,22811,suburban,0,233617098875248,5,0.143567,0,Legitimate
4051,prepaid,2023-10-14,19,17256,urban,0,709492241167885,0,0.000856,0,Legitimate
4052,prepaid,2025-09-11,36,39932,urban,0,396750271428856,4,0.117548,0,Legitimate
4053,postpaid,2025-05-25,23,9342,urban,0,019126264928505,5,0.123073,0,Legitimate
4054,postpaid,2025-03-04,42,9142,urban,0,421653923989680,5,0.132927,0,Legitimate
4055,postpaid,2023-11-16,28,21782,suburban,0,683147429454294,0,0.111076,0,Legitimate
4056,prepaid,2025-09-21,37,40810,suburban,0,632802372082332,0,0.121371,0,Legitimate
4057,postpaid,2023-12-12,32,25897,urban,0,719402423767381,2,0.077802,0,Legitimate
4058,prepaid,2024-01-06,41,40830,suburban,0,062339218269451,1,0.084204,0,Legitimate
4059,prepaid,2024-05-24,36,8414,urban,0,194736801722867,7,0.063914,0,Legitimate
4060,prepaid,2023-11-28,45,17578,suburban,0,138229729896323,2,0.008418,0,Legitimate
4061,prepaid,2024-05-31,37,30675,urban,0,133211072816397,2,0.130502,0,Legitimate
4062,postpaid,2025-04-17,42,17906,suburban,0,222608538276559,3,0.0855,0,Legitimate
4063,prepaid,2024-12-10,41,37897,rural,0,265034445870009,3,0.029976,0,Legitimate
4064,prepaid,2024-08-04,28,11443,urban,0,437394707773126,2,0.075708,0,Legitimate
4065,postpaid,2025-07-24,38,16988,rural,0,646194862276810,1,0.072739,0,Legitimate
4066,prepaid,2025-10-05,23,16146,suburban,0,300053067565468,0,0.053518,0,Legitimate
4067,postpaid,2025-05-21,28,25425,urban,0,002486410388957,2,0.051912,0,Legitimate
4068,prepaid,2024-08-31,37,34738,rural,0,085041621651274,0,0.080772,0,Legitimate
4069,prepaid,2025-01-12,56,102939,suburban,0,821035146336117,1,0.093523,0,Legitimate
4070,prepaid,2025-04-07,47,9101,rural,1,083140124334848,5,0.814358,1,Fraud
4071,postpaid,2025-10-01,63,61543,urban,0,393460784810954,6,0.068722,0,Legitimate
4072,prepaid,2024-01-13,33,12988,urban,0,290007144070776,3,0.004196,0,Legitimate
4073,postpaid,2025-04-15,29,10577,rural,0,855355426520106,3,0.034441,0,Legitimate
4074,prepaid,2023-11-01,33,14078,urban,1,783866667999702,2,0.662024,1,Fraud
4075,prepaid,2023-12-31,43,29041,suburban,0,003131553374173,2,0.087669,0,Legitimate
4076,postpaid,2024-02-22,40,27225,suburban,0,699713996847058,2,0.129151,0,Legitimate
4077,postpaid,2025-09-22,43,17789,urban,0,474477003813425,1,0.119766,0,Legitimate
4078,prepaid,2025-04-20,38,34365,urban,0,747124221545220,1,0.119565,0,Legitimate
4079,postpaid,2025-01-24,25,13505,urban,0,181226172719640,1,0.122466,0,Legitimate
4080,prepaid,2025-05-26,37,46157,rural,0,412739752564528,0,0.038294,0,Legitimate
4081,prepaid,2025-02-25,48,17289,urban,0,463995812832116,4,0.126262,0,Legitimate
4082,prepaid,2023-11-12,25,20625,rural,1,649744737508088,1,0.83559,1,Fraud
4083,postpaid,2024-11-29,47,46033,rural,0,998599709947608,1,0.012485,0,Legitimate
4084,prepaid,2025-07-26,52,20068,urban,0,913700555784394,6,0.002504,0,Legitimate
4085,prepaid,2025-03-23,31,13071,suburban,0,561969543246827,1,0.002184,0,Legitimate
4086,postpaid,2024-10-16,18,49083,urban,0,761304136001351,1,0.113338,0,Legitimate
4087,postpaid,2024-03-21,48,40870,urban,0,835998002732829,0,0.037434,0,Legitimate
4088,prepaid,2024-02-07,34,21879,urban,0,075116078411315,5,0.016423,0,Legitimate
4089,prepaid,2025-02-26,60,28717,urban,1,411383876910983,3,0.818681,1,Fraud
4090,postpaid,2024-11-28,67,26587,urban,0,982265504541981,1,0.051663,0,Legitimate
4091,postpaid,2024-10-15,38,24709,urban,0,576732527124323,0,0.010427,0,Legitimate
4092,prepaid,2024-03-30,39,25454,suburban,0,248546227624850,1,0.023944,0,Legitimate
4093,prepaid,2023-12-16,49,32326,urban,0,272025129427215,6,0.079107,0,Legitimate
4094,prepaid,2025-03-24,34,36619,urban,0,970163756890679,1,0.025222,0,Legitimate
4095,postpaid,2025-06-15,40,17989,urban,0,997282188445956,1,0.040937,0,Legitimate
4096,prepaid,2024-02-28,36,24137,suburban,1,088212296777767,2,0.849056,1,Fraud
4097,prepaid,2024-12-22,51,49317,urban,0,357648470571046,2,0.068205,0,Legitimate
4098,prepaid,2025-01-04,53,8837,suburban,1,958694342280241,4,0.712701,1,Fraud
4099,prepaid,2025-04-08,19,13286,urban,0,663124894910969,1,0.071066,0,Legitimate
