Here are the contents for the file: /flask-gsm-fraud-detection/flask-gsm-fraud-detection/data/sample_data.csv

id,subscriber_type,registration_date,age,income,location,is_fraud
1,prepaid,2023-01-01,25,30000,urban,0
2,postpaid,2023-01-02,30,45000,rural,1
3,prepaid,2023-01-03,22,25000,urban,0
4,postpaid,2023-01-04,35,60000,urban,1
5,prepaid,2023-01-05,28,32000,rural,0
6,postpaid,2023-01-06,40,70000,urban,1
7,prepaid,2023-01-07,19,20000,rural,0
8,postpaid,2023-01-08,50,80000,urban,1
9,prepaid,2023-01-09,33,35000,urban,0
10,postpaid,2023-01-10,29,50000,rural,1
