subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
1001,postpaid,2023-04-03,69,86067,suburban,1,163786541710698,2,0.68158,1,Fraud
1002,postpaid,2023-08-01,32,74353,urban,0,287999572447625,3,0.03463,0,Legitimate
1003,postpaid,2023-06-16,50,32000,rural,0,545375381850648,1,0.032817,0,Legitimate
1004,postpaid,2023-02-25,59,48135,rural,0,940985371701648,8,0.068941,0,Legitimate
1005,prepaid,2023-12-29,24,69642,rural,1,928119172210784,3,0.701424,1,Fraud
1006,prepaid,2023-08-29,48,54235,urban,1,702455355855683,5,0.607521,1,Fraud
1007,prepaid,2023-07-20,35,60703,urban,0,055274899197148,3,0.125637,0,Legitimate
1008,postpaid,2023-08-27,56,70166,rural,1,553004373727357,1,0.794759,1,Fraud
1009,postpaid,2023-05-27,41,45193,rural,0,090005569541531,0,0.096344,0,Legitimate
1010,prepaid,2023-08-22,28,53172,suburban,1,092162006364167,6,0.665067,1,Fraud
