subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
3001,prepaid,2024-05-08,50,7903,suburban,0,502258532061961,2,0.003545,0,Legitimate
3002,prepaid,2023-12-25,46,26819,urban,1,469747045873989,5,0.735295,1,Fraud
3003,postpaid,2025-03-28,19,40000,rural,1,658021742558617,1,0.747322,1,Fraud
3004,prepaid,2025-07-20,34,25179,suburban,1,368804738722876,3,0.665814,1,Fraud
3005,postpaid,2024-03-12,61,28202,rural,1,116086186054708,1,0.638067,1,Fraud
3006,prepaid,2025-08-30,42,34357,rural,0,310868424652858,0,0.134973,0,Legitimate
3007,postpaid,2024-09-13,46,28754,rural,0,746028588825818,4,0.076517,0,Legitimate
3008,postpaid,2023-12-25,42,13685,urban,0,546081383034931,0,0.031364,0,Legitimate
3009,prepaid,2025-10-04,61,21737,urban,0,497563829099759,0,0.090847,0,Legitimate
3010,postpaid,2024-07-21,22,17284,suburban,0,532606684286514,1,0.122556,0,Legitimate
